unit,label,aggregation,selection_mode,nominal_budget,threshold,units,failures,failure_prevalence,reviewed_units,review_fraction,caught_failures,failure_recall,review_ppv,failure_recall_lift_over_random,false_referrals,safe_unit_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_units,remaining_failure_rate_unreviewed,auroc,auprc
frame,label_large_false_positive_010,none,frozen_sun_validation_threshold,0.05,0.09579211,149685,92627,0.618812840297959,8728,0.05830911580986739,8728,0.09422738510369547,1.0,1.615997495330735,0,0.0,83899,0.9057726148963046,0.5605037244880917,0.5952098867030371,0.9515415126069834,0.9704843461758188
frame,label_large_false_positive_010,none,exact_rank,0.1,,149685,92627,0.618812840297959,14969,0.10000334034806427,14969,0.1616051475271789,1.0,1.615997495330735,0,0.0,77658,0.8383948524728211,0.5188094999498948,0.5764571394637608,0.9515415126069834,0.9704843461758188
frame,label_large_false_positive_010,none,frozen_sun_validation_threshold,0.1,0.07180122,149685,92627,0.618812840297959,18314,0.12235026889801917,18314,0.19771772809224092,1.0,1.615997495330735,0,0.0,74313,0.802282271907759,0.4964625713999399,0.565672789276172,0.9515415126069834,0.9704843461758188
frame,label_large_false_positive_010,none,exact_rank,0.2,,149685,92627,0.618812840297959,29937,0.2,29936,0.32318870307793623,0.9999665965193573,1.615943515389681,1,1.7526026148831013e-05,62691,0.6768112969220638,0.4188195209940876,0.5235244012426095,0.9515415126069834,0.9704843461758188
frame,label_large_false_positive_010,none,frozen_sun_validation_threshold,0.2,0.04186127,149685,92627,0.618812840297959,35256,0.23553462270768613,35247,0.3805261964653935,0.9997447243022465,1.6155849704425467,9,0.00015773423533947914,57380,0.6194738035346066,0.38333834385542975,0.5014463116867228,0.9515415126069834,0.9704843461758188
frame,label_fp_persistent_min3,none,exact_rank,0.01,,149685,115599,0.7722817917627016,1497,0.01000100210441928,1490,0.012889384856270383,0.9953239812959251,1.28880933347417,7,0.00020536290559173854,114109,0.9871106151437297,0.7623275545311822,0.7700286123032904,0.9413738848607032,0.9763059843029468
frame,label_fp_persistent_min3,none,frozen_sun_validation_threshold,0.01,0.13528396,149685,115599,0.7722817917627016,1580,0.010555499883087818,1571,0.013590082959195149,0.9943037974683544,1.2874883340171683,9,0.0002640380214750924,114028,0.9864099170408048,0.7617864181447707,0.7699132372303433,0.9413738848607032,0.9763059843029468
frame,label_fp_persistent_min3,none,exact_rank,0.05,,149685,115599,0.7722817917627016,7485,0.0500050105220964,7431,0.06428256299794981,0.9927855711422846,1.2855224371874572,54,0.0015842281288505544,108168,0.9357174370020502,0.7226375388315462,0.7606751054852321,0.9413738848607032,0.9763059843029468
frame,label_fp_persistent_min3,none,frozen_sun_validation_threshold,0.05,0.09579211,149685,115599,0.7722817917627016,8728,0.05830911580986739,8667,0.07497469701294994,0.9930109990834097,1.2858143357451204,61,0.001789591034442293,106932,0.9250253029870501,0.714380198416675,0.7586143291925906,0.9413738848607032,0.9763059843029468
frame,label_fp_persistent_min3,none,exact_rank,0.1,,149685,115599,0.7722817917627016,14969,0.10000334034806427,14854,0.12849592124499346,0.9923174560758902,1.284916291773455,115,0.0033738191632928477,100745,0.8715040787550066,0.6730467314694191,0.7478324772113186,0.9413738848607032,0.9763059843029468
frame,label_fp_persistent_min3,none,frozen_sun_validation_threshold,0.1,0.07180122,149685,115599,0.7722817917627016,18314,0.12235026889801917,18168,0.157163989307866,0.9920279567543956,1.2845414294827957,146,0.004283283459484833,97431,0.842836010692134,0.6509069044994489,0.7416477000251197,0.9413738848607032,0.9763059843029468
frame,label_fp_persistent_min3,none,exact_rank,0.2,,149685,115599,0.7722817917627016,29937,0.2,29637,0.2563776503256949,0.9899789558071951,1.2818882516284742,300,0.008801267382503081,85962,0.7436223496743052,0.5742860006012627,0.7178575007515783,0.9413738848607032,0.9763059843029468
frame,label_fp_persistent_min3,none,frozen_sun_validation_threshold,0.2,0.04186127,149685,115599,0.7722817917627016,35256,0.23553462270768613,34847,0.3014472443533249,0.9883991377354209,1.2798426018557816,409,0.011999061198145866,80752,0.6985527556466752,0.539479573771587,0.7056952345996207,0.9413738848607032,0.9763059843029468
frame,label_fp_persistent_min5,none,exact_rank,0.01,,149685,111042,0.7418378595049604,1497,0.01000100210441928,1474,0.013274256587597486,0.9846359385437542,1.3272926501767066,23,0.0005951918846880418,109568,0.9867257434124025,0.7319905134114975,0.7393851054066456,0.9093526790852018,0.955114675760568
frame,label_fp_persistent_min5,none,frozen_sun_validation_threshold,0.01,0.13528396,149685,111042,0.7418378595049604,1580,0.010555499883087818,1555,0.01400371030781146,0.9841772151898734,1.3266742895093406,25,0.0006469477007478716,109487,0.9859962896921886,0.7314493770250861,0.7392525573073158,0.9093526790852018,0.955114675760568
frame,label_fp_persistent_min5,none,exact_rank,0.05,,149685,111042,0.7418378595049604,7485,0.0500050105220964,7353,0.06621818771275734,0.9823647294589178,1.3242310524761631,132,0.0034158838599487617,103689,0.9337818122872427,0.6927147008718308,0.7291772151898734,0.9093526790852018,0.955114675760568
frame,label_fp_persistent_min5,none,frozen_sun_validation_threshold,0.05,0.09579211,149685,111042,0.7418378595049604,8728,0.05830911580986739,8571,0.0771870103204193,0.9820119156736938,1.323755458273598,157,0.0040628315606966335,102471,0.9228129896795807,0.6845776129872733,0.7269663798179586,0.9093526790852018,0.955114675760568
frame,label_fp_persistent_min5,none,exact_rank,0.1,,149685,111042,0.7418378595049604,14969,0.10000334034806427,14677,0.1321752129824751,0.9804930189057385,1.3217079801778198,292,0.007556349144735139,96365,0.8678247870175249,0.6437852824264289,0.715319635381098,0.9093526790852018,0.955114675760568
