hypothesis_id,model_a,model_b,scope,stratum,metric,sequence_units,exact_p_value,p_value_bh
H0102,absence_and_run_length,ema_alpha_0_30,sequence,positive_sequences,mean_boundary_iou,8,0.0078125,0.04403409090909091
H0103,absence_and_run_length,ema_alpha_0_30,sequence,low_motion_sequences,mean_boundary_iou,4,0.125,0.26182432432432434
H0104,absence_and_run_length,ema_alpha_0_30,sequence,high_motion_sequences,mean_boundary_iou,4,0.125,0.26182432432432434
H0105,absence_and_run_length,ema_alpha_0_30,sequence,all_sequences,mean_false_positive_fraction,8,0.8515625,0.9999408143939394
H0106,absence_and_run_length,ema_alpha_0_30,sequence,positive_sequences,mean_false_positive_fraction,8,0.8515625,0.9999408143939394
H0107,absence_and_run_length,ema_alpha_0_30,sequence,low_motion_sequences,mean_false_positive_fraction,4,0.5,0.6396148555708391
H0108,absence_and_run_length,ema_alpha_0_30,sequence,high_motion_sequences,mean_false_positive_fraction,4,0.25,0.41517857142857145
H0109,absence_and_run_length,ema_alpha_0_30,sequence,all_sequences,false_positive_frames,8,0.0625,0.19246688741721854
H0110,absence_and_run_length,ema_alpha_0_30,sequence,positive_sequences,false_positive_frames,8,0.0625,0.19246688741721854
H0111,absence_and_run_length,ema_alpha_0_30,sequence,low_motion_sequences,false_positive_frames,4,0.5,0.6396148555708391
H0112,absence_and_run_length,ema_alpha_0_30,sequence,high_motion_sequences,false_positive_frames,4,0.25,0.41517857142857145
H0113,absence_and_run_length,ema_alpha_0_30,sequence,all_sequences,false_positive_run_count,8,0.03125,0.11487154150197629
H0114,absence_and_run_length,ema_alpha_0_30,sequence,positive_sequences,false_positive_run_count,8,0.03125,0.11487154150197629
H0115,absence_and_run_length,ema_alpha_0_30,sequence,low_motion_sequences,false_positive_run_count,4,0.5,0.6396148555708391
H0116,absence_and_run_length,ema_alpha_0_30,sequence,high_motion_sequences,false_positive_run_count,4,0.125,0.26182432432432434
H0117,absence_and_run_length,ema_alpha_0_30,sequence,all_sequences,prediction_fragment_count,8,0.40625,0.6006558028616852
H0118,absence_and_run_length,ema_alpha_0_30,sequence,positive_sequences,prediction_fragment_count,8,0.40625,0.6006558028616852
H0119,absence_and_run_length,ema_alpha_0_30,sequence,low_motion_sequences,prediction_fragment_count,4,0.75,0.8908045977011494
H0120,absence_and_run_length,ema_alpha_0_30,sequence,high_motion_sequences,prediction_fragment_count,4,0.75,0.8908045977011494
H0121,absence_and_run_length,ema_alpha_0_30,sequence,all_sequences,prediction_positive_frames,8,0.015625,0.07451923076923077
H0122,absence_and_run_length,ema_alpha_0_30,sequence,positive_sequences,prediction_positive_frames,8,0.015625,0.07451923076923077
H0123,absence_and_run_length,ema_alpha_0_30,sequence,low_motion_sequences,prediction_positive_frames,4,0.25,0.41517857142857145
H0124,absence_and_run_length,ema_alpha_0_30,sequence,high_motion_sequences,prediction_positive_frames,4,0.125,0.26182432432432434
H0125,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,all_frames,dice,8,0.0234375,0.10330272511848342
H0126,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,target_positive_frames,dice,8,0.046875,0.17095588235294118
H0127,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,target_empty_frames,dice,8,0.03125,0.11487154150197629
H0128,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,positive_sequence_frames,dice,8,0.0234375,0.10330272511848342
H0129,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,low_motion_frames,dice,8,0.015625,0.07451923076923077
H0130,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,high_motion_frames,dice,8,0.015625,0.07451923076923077
H0131,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,all_frames,iou,8,0.015625,0.07451923076923077
H0132,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,target_positive_frames,iou,8,0.015625,0.07451923076923077
H0133,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,target_empty_frames,iou,8,0.03125,0.11487154150197629
H0134,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,positive_sequence_frames,iou,8,0.015625,0.07451923076923077
H0135,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,low_motion_frames,iou,8,0.0078125,0.04403409090909091
H0136,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,high_motion_frames,iou,8,0.015625,0.07451923076923077
H0137,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,all_frames,boundary_iou,8,0.0078125,0.04403409090909091
H0138,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,target_positive_frames,boundary_iou,8,0.0078125,0.04403409090909091
H0139,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,target_empty_frames,boundary_iou,8,0.03125,0.11487154150197629
H0140,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,positive_sequence_frames,boundary_iou,8,0.0078125,0.04403409090909091
H0141,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,low_motion_frames,boundary_iou,8,0.0078125,0.04403409090909091
H0142,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,high_motion_frames,boundary_iou,8,0.0078125,0.04403409090909091
H0143,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,all_frames,mae,8,0.0078125,0.04403409090909091
H0144,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,target_positive_frames,mae,8,0.0078125,0.04403409090909091
H0145,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,target_empty_frames,mae,8,0.0078125,0.04403409090909091
H0146,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,positive_sequence_frames,mae,8,0.0078125,0.04403409090909091
H0147,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,low_motion_frames,mae,8,0.015625,0.07451923076923077
H0148,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,high_motion_frames,mae,8,0.0078125,0.04403409090909091
H0149,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,all_frames,false_positive_fraction,8,0.1953125,0.393161525974026
H0150,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,target_positive_frames,false_positive_fraction,8,0.09375,0.26182432432432434
H0151,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,target_empty_frames,false_positive_fraction,8,0.546875,0.6948002049180327
H0152,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,positive_sequence_frames,false_positive_fraction,8,0.1953125,0.393161525974026
H0153,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,low_motion_frames,false_positive_fraction,8,0.6484375,0.7987375827814569
H0154,absence_and_run_length,foreground_drop_reset_ema,frame_sequence_mean,high_motion_frames,false_positive_fraction,8,0.0703125,0.2143954918032787
H0155,absence_and_run_length,foreground_drop_reset_ema,sequence,all_sequences,mean_dice,8,0.0234375,0.10330272511848342
H0156,absence_and_run_length,foreground_drop_reset_ema,sequence,positive_sequences,mean_dice,8,0.0234375,0.10330272511848342
H0157,absence_and_run_length,foreground_drop_reset_ema,sequence,low_motion_sequences,mean_dice,4,0.125,0.26182432432432434
H0158,absence_and_run_length,foreground_drop_reset_ema,sequence,high_motion_sequences,mean_dice,4,0.25,0.41517857142857145
H0159,absence_and_run_length,foreground_drop_reset_ema,sequence,all_sequences,mean_iou,8,0.015625,0.07451923076923077
H0160,absence_and_run_length,foreground_drop_reset_ema,sequence,positive_sequences,mean_iou,8,0.015625,0.07451923076923077
H0161,absence_and_run_length,foreground_drop_reset_ema,sequence,low_motion_sequences,mean_iou,4,0.125,0.26182432432432434
H0162,absence_and_run_length,foreground_drop_reset_ema,sequence,high_motion_sequences,mean_iou,4,0.25,0.41517857142857145
H0163,absence_and_run_length,foreground_drop_reset_ema,sequence,all_sequences,mean_boundary_iou,8,0.0078125,0.04403409090909091
H0164,absence_and_run_length,foreground_drop_reset_ema,sequence,positive_sequences,mean_boundary_iou,8,0.0078125,0.04403409090909091
H0165,absence_and_run_length,foreground_drop_reset_ema,sequence,low_motion_sequences,mean_boundary_iou,4,0.125,0.26182432432432434
H0166,absence_and_run_length,foreground_drop_reset_ema,sequence,high_motion_sequences,mean_boundary_iou,4,0.125,0.26182432432432434
H0167,absence_and_run_length,foreground_drop_reset_ema,sequence,all_sequences,mean_false_positive_fraction,8,0.1953125,0.393161525974026
H0168,absence_and_run_length,foreground_drop_reset_ema,sequence,positive_sequences,mean_false_positive_fraction,8,0.1953125,0.393161525974026
H0169,absence_and_run_length,foreground_drop_reset_ema,sequence,low_motion_sequences,mean_false_positive_fraction,4,1.0,1.0
H0170,absence_and_run_length,foreground_drop_reset_ema,sequence,high_motion_sequences,mean_false_positive_fraction,4,0.125,0.26182432432432434
H0171,absence_and_run_length,foreground_drop_reset_ema,sequence,all_sequences,false_positive_frames,8,0.03125,0.11487154150197629
H0172,absence_and_run_length,foreground_drop_reset_ema,sequence,positive_sequences,false_positive_frames,8,0.03125,0.11487154150197629
