hypothesis_id,model_a,model_b,scope,stratum,metric,iterations,seed,sequence_units,mean_a,mean_b,mean_delta,ci95_lower,ci95_upper,p_value,p_method,p_sign_assignments,p_value_bh
H0058,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,prediction_fragment_count,10000,0,4,2.0,1.75,0.25,-0.75,1.5,1.0,exact_two_sided_paired_sign_flip,16,1.0
H0059,absence_and_run_length,confidence_and_run_length_5,sequence,all_sequences,prediction_positive_frames,10000,0,8,40.75,44.875,-4.125,-7.25,-1.5,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0060,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,prediction_positive_frames,10000,0,8,40.75,44.875,-4.125,-7.25,-1.5,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0061,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,prediction_positive_frames,10000,0,4,44.75,46.75,-2.0,-4.0,0.0,0.5,exact_two_sided_paired_sign_flip,16,0.6396148555708391
H0062,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,prediction_positive_frames,10000,0,4,36.75,43.0,-6.25,-11.0,-1.75,0.25,exact_two_sided_paired_sign_flip,16,0.41517857142857145
H0063,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,all_frames,dice,10000,0,8,0.7017252458515603,0.614974979563597,0.08675026628796313,0.033849665221096684,0.13467162175662045,0.03125,exact_two_sided_paired_sign_flip,256,0.11487154150197629
H0064,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_positive_frames,dice,10000,0,8,0.6957293513533165,0.6207086008537248,0.07502075049959164,0.01854406997318286,0.11827404834999472,0.0390625,exact_two_sided_paired_sign_flip,256,0.14302411417322836
H0065,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_empty_frames,dice,10000,0,8,0.706453634085213,0.46605424852453714,0.2403993855606759,0.06778033794162826,0.48214285714285715,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0066,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,positive_sequence_frames,dice,10000,0,8,0.7017252458515603,0.614974979563597,0.08675026628796313,0.03291893865898778,0.1351342906666721,0.03125,exact_two_sided_paired_sign_flip,256,0.11487154150197629
H0067,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,low_motion_frames,dice,10000,0,8,0.6808675325308599,0.6419910199229881,0.038876512607871644,0.001473876848652831,0.07534262072271893,0.078125,exact_two_sided_paired_sign_flip,256,0.23362138263665594
H0068,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,high_motion_frames,dice,10000,0,8,0.7062577782598156,0.5443699702670952,0.16188780799272032,0.07917897067381229,0.2354234974851718,0.015625,exact_two_sided_paired_sign_flip,256,0.07451923076923077
H0069,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,all_frames,iou,10000,0,8,0.659742727942429,0.5468012272160856,0.11294150072634351,0.062186085092748186,0.15764619461830173,0.015625,exact_two_sided_paired_sign_flip,256,0.07451923076923077
H0070,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_positive_frames,iou,10000,0,8,0.6395906158081716,0.5305166111749473,0.10907400463322425,0.05361965956521227,0.15074175673200535,0.015625,exact_two_sided_paired_sign_flip,256,0.07451923076923077
H0071,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_empty_frames,iou,10000,0,8,0.706453634085213,0.46605424852453714,0.2403993855606759,0.06778033794162826,0.4821428571428571,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
