hypothesis_id,model_a,model_b,scope,stratum,metric,sequence_id,value_a,value_b,delta
H0021,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,mae,positive_seq19,0.0,0.0,0.0
H0021,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,mae,positive_seq20,0.0787393042063784,0.0787393042063784,0.0
H0021,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,mae,positive_seq21,0.0,0.0026990578119312565,-0.0026990578119312565
H0021,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,mae,positive_seq22,0.0,0.015052625814860221,-0.015052625814860221
H0021,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,mae,positive_seq23,0.05745578275527805,0.05745578275527805,0.0
H0022,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,mae,positive_seq16,0.008080132363829762,0.008080132363829762,0.0
H0022,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,mae,positive_seq17,0.020708808760410025,0.017698602189147282,0.0030102065712627434
H0022,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,mae,positive_seq18,0.09296738977233569,0.07561797282791563,0.017349416944420062
H0022,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,mae,positive_seq19,0.018516109682553048,0.027888745526849692,-0.009372635844296644
H0022,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,mae,positive_seq20,0.06441166278762886,0.06441166278762886,0.0
H0022,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,mae,positive_seq21,0.014286140470565962,0.007500290745935802,0.006785849724630161
H0022,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,mae,positive_seq22,0.007633770228889974,0.009070001158840529,-0.001436230929950555
H0022,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,mae,positive_seq23,0.060582352440438365,0.060582352440438365,0.0
H0023,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,mae,positive_seq16,0.005075954801767417,0.005075954801767417,0.0
