predictor,cohort,control,dataset,split,sequence_unit,target_empty,prediction_empty,threshold,boundary_ratio,dice,iou,precision,sensitivity,specificity,f2,mae,boundary_iou,false_positive_fraction
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9764192139737992,0.9539249146757679,0.974716652136007,0.9781277340332458,0.9983226328879634,0.9774436090225563,0.0033189940731972456,0.843940232429441,0.0015733506944444445
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9817243707204166,0.9641047497277075,0.979740134744947,0.9837166602241979,0.9953168105366201,0.9829187748638523,0.010288221761584282,0.8131662345145492,0.003806785300925926
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9723825869870495,0.9462496204069237,0.9587692307692308,0.9863880974992086,0.9974298482843278,0.9807377565151706,0.003954647108912468,0.8436553812276356,0.002423321759259259
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9369085173501577,0.8813056379821959,0.8892215568862275,0.99,0.9993272237980944,0.9680573663624511,0.0010127151617780328,0.8813056379821959,0.0006691261574074075
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9450991664271342,0.8959128065395096,0.9138410227904391,0.9785714285714285,0.9985768326722492,0.9649019838009156,0.001977143809199333,0.8606741573033708,0.0014015480324074073
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9737235633411664,0.9487926727726894,0.9762261726279717,0.9712337523971873,0.9989518314620535,0.9722281472633421,0.0027839811518788338,0.8703477730323368,0.001003689236111111
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9738934534852902,0.9491153299754617,0.9682476943346509,0.97960543854972,0.9976622368803958,0.9773126230118623,0.004341350868344307,0.8386431354572542,0.002179181134259259
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9783675289919714,0.9576511678672779,0.9803351955307262,0.9764077453817048,0.9991705859621675,0.9771907159085846,0.002268784213811159,0.8922978587408118,0.0007957175925925925
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9592116068984397,0.9216201998947923,0.9495934959349593,0.9690265486725663,0.9991450948668922,0.965076567147736,0.0016021111514419317,0.8719546742209632,0.0008409288194444445
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq01,False,False,0.5,0.02,0.9311361200428725,0.8711456505389822,0.9879175550817342,0.8805270492841758,0.9991723385816804,0.9000958375424146,0.010261768475174904,0.6537516537516538,0.0007685908564814815
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9766423357664233,0.9543509272467903,0.9761673151750972,0.9771178188899707,0.9980854887864343,0.976927570093458,0.004350612871348858,0.8516823071641108,0.0017722800925925927
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9630088221637517,0.9286567164179105,0.9432989690721649,0.9835599114764464,0.9982593154548586,0.9752351097178683,0.00250593782402575,0.8505747126436781,0.0016908998842592592
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9785216718266254,0.9579465807918166,0.9667367616134582,0.9905974534769834,0.9983505076454918,0.985731550426884,0.0025949578266590834,0.888124439126533,0.0015733506944444445
