slice,dataset,task,selection_mode,nominal_budget,threshold,max_gap_frames,sequences_or_clips,frames,failure_frames,reviewed_frames,caught_failure_frames,safe_referred_frames,failure_episodes,captured_failure_episodes,residual_failure_episodes,referral_episodes,false_referral_episodes,redundant_failure_hits,within_referral_episode_extra_frames,review_fraction,frame_failure_recall,episode_failure_recall,false_referral_episode_fraction,reviewed_frames_per_sequence_or_clip,referral_episodes_per_sequence_or_clip,false_referral_episodes_per_sequence_or_clip,redundant_failure_hits_per_captured_episode,failure_episode_duration_mean_frames,failure_episode_duration_median_frames,failure_episode_duration_p95_frames,failure_episode_duration_max_frames,captured_episode_duration_mean_frames,captured_episode_duration_median_frames,captured_episode_duration_p95_frames,captured_episode_duration_max_frames,residual_episode_duration_mean_frames,residual_episode_duration_median_frames,residual_episode_duration_p95_frames,residual_episode_duration_max_frames,referral_episode_duration_mean_frames,referral_episode_duration_median_frames,referral_episode_duration_p95_frames,referral_episode_duration_max_frames,false_referral_episode_duration_mean_frames,false_referral_episode_duration_median_frames,false_referral_episode_duration_p95_frames,false_referral_episode_duration_max_frames
sun_negative_loco_macro,SUN-SEG,negative_false_positive,heldout_exact_rank,0.05,,0,7,27186,24296,1361,1361,0,1520,321,1199,938,0,1040,423,0.05006253218568381,0.05601745143233454,0.21118421052631578,0.0,194.42857142857142,134.0,0.0,3.2398753894080996,15.98421052631579,5.0,63.0,287,42.781931464174455,29.0,124.0,287,8.809841534612177,3.0,37.0,141,1.450959488272921,1.0,3.0,8,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,heldout_exact_rank,0.05,,2,7,27186,24296,1361,1361,0,271,110,161,653,0,1251,708,0.05006253218568381,0.05601745143233454,0.4059040590405904,0.0,194.42857142857142,93.28571428571429,0.0,11.372727272727273,95.18450184501845,32.0,415.0,1005,203.06363636363636,154.5,543.0999999999999,1005,21.47826086956522,8.0,93.0,150,2.684532924961715,1.0,9.0,24,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,heldout_exact_rank,0.05,,5,7,27186,24296,1361,1361,0,65,42,23,480,0,1319,881,0.05006253218568381,0.05601745143233454,0.6461538461538462,0.0,194.42857142857142,68.57142857142857,0.0,31.404761904761905,408.2,145.0,1733.7999999999995,2477,608.6190476190476,448.0,1869.3999999999996,2477,42.21739130434783,27.0,110.19999999999999,162,4.997916666666667,2.0,18.049999999999955,68,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,train_cases_frozen_threshold,0.05,case_specific_other_two_cases,0,7,27186,24296,1381,1381,0,1520,323,1197,947,0,1058,434,0.05079820495843449,0.05684063220283174,0.2125,0.0,197.28571428571428,135.28571428571428,0.0,3.2755417956656347,15.98421052631579,5.0,63.0,287,42.8235294117647,29.0,123.59999999999991,287,8.741854636591478,3.0,36.200000000000045,141,1.4582893347412882,1.0,3.0,8,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,train_cases_frozen_threshold,0.05,case_specific_other_two_cases,2,7,27186,24296,1381,1381,0,271,114,157,666,0,1267,715,0.05079820495843449,0.05684063220283174,0.42066420664206644,0.0,197.28571428571428,95.14285714285714,0.0,11.114035087719298,95.18450184501845,32.0,415.0,1005,198.14912280701753,144.5,538.6999999999998,1005,20.420382165605094,7.0,86.79999999999995,150,2.6546546546546548,1.0,9.0,27,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,train_cases_frozen_threshold,0.05,case_specific_other_two_cases,5,7,27186,24296,1381,1381,0,65,44,21,491,0,1337,890,0.05079820495843449,0.05684063220283174,0.676923076923077,0.0,197.28571428571428,70.14285714285714,0.0,30.386363636363637,408.2,145.0,1733.7999999999995,2477,584.75,416.5,1858.2000000000003,2477,38.285714285714285,24.0,111.0,162,4.95112016293279,2.0,18.0,68,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,heldout_exact_rank,0.1,,0,7,27186,24296,2721,2721,0,1520,433,1087,1535,0,2288,1186,0.10008828073273009,0.11199374382614422,0.2848684210526316,0.0,388.7142857142857,219.28571428571428,0.0,5.284064665127021,15.98421052631579,5.0,63.0,287,38.43879907621247,25.0,117.0,287,7.039558417663294,3.0,32.0,103,1.7726384364820846,1.0,5.0,18,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,heldout_exact_rank,0.1,,2,7,27186,24296,2721,2721,0,271,134,137,928,0,2587,1793,0.10008828073273009,0.11199374382614422,0.4944649446494465,0.0,388.7142857142857,132.57142857142858,0.0,19.30597014925373,95.18450184501845,32.0,415.0,1005,177.38805970149255,106.5,529.05,1005,14.781021897810218,5.0,64.0,129,3.8405172413793105,2.0,13.0,40,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,heldout_exact_rank,0.1,,5,7,27186,24296,2721,2721,0,65,48,17,656,0,2673,2065,0.10008828073273009,0.11199374382614422,0.7384615384615385,0.0,388.7142857142857,93.71428571428571,0.0,55.6875,408.2,145.0,1733.7999999999995,2477,540.5,375.0,1835.7999999999997,2477,34.64705882352941,17.0,121.19999999999996,162,7.0,3.5,24.0,87,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,train_cases_frozen_threshold,0.1,case_specific_other_two_cases,0,7,27186,24296,2790,2790,0,1520,438,1082,1555,0,2352,1235,0.10262635179871993,0.11483371748435957,0.2881578947368421,0.0,398.57142857142856,222.14285714285714,0.0,5.36986301369863,15.98421052631579,5.0,63.0,287,37.926940639269404,24.0,117.0,287,7.101663585951941,3.0,32.0,105,1.7942122186495177,1.0,5.0,18,,,,
