slice,dataset,split,system,temporal_mode,presence_stratum,task,selection_mode,nominal_budget,threshold,frames,independent_units,independent_unit_type,failures,failure_prevalence,reviewed_frames,review_fraction,caught_failures,failure_capture,review_precision,false_referrals,remaining_failures,residual_failure_rate_all_frames,auroc,auprc
sam2_sun_negative_case3_test,SUN-SEG,test,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.01,,28,1,case,21,0.75,1,0.03571428571428571,0,0.0,0.0,1,21,0.75,0.0,0.5552287012969248
sam2_sun_negative_case3_test,SUN-SEG,test,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.05,,28,1,case,21,0.75,2,0.07142857142857142,0,0.0,0.0,2,21,0.75,0.0,0.5552287012969248
sam2_sun_negative_case3_test,SUN-SEG,test,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.1,,28,1,case,21,0.75,3,0.10714285714285714,0,0.0,0.0,3,21,0.75,0.0,0.5552287012969248
sam2_sun_negative_case3_test,SUN-SEG,test,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,exact_rank,0.2,,28,1,case,21,0.75,6,0.21428571428571427,0,0.0,0.0,6,21,0.75,0.0,0.5552287012969248
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.01,,12351,39,case,1495,0.12104283054003724,124,0.010039672900979678,79,0.05284280936454849,0.6370967741935484,45,1416,0.1146465873208647,0.7619793810367647,0.3868809400719345
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.01,0.13528396,12351,39,case,1495,0.12104283054003724,109,0.008825196340377298,71,0.04749163879598662,0.6513761467889908,38,1424,0.11529430815318598,0.7619793810367647,0.3868809400719345
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.05,,12351,39,case,1495,0.12104283054003724,618,0.050036434296818075,313,0.2093645484949833,0.5064724919093851,305,1182,0.09570075297546757,0.7619793810367647,0.3868809400719345
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.05,0.09579211,12351,39,case,1495,0.12104283054003724,248,0.020079345801959355,148,0.09899665551839465,0.5967741935483871,100,1347,0.10905999514209376,0.7619793810367647,0.3868809400719345
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.1,,12351,39,case,1495,0.12104283054003724,1236,0.10007286859363615,538,0.35986622073578595,0.43527508090614886,698,957,0.07748360456643187,0.7619793810367647,0.3868809400719345
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.1,0.07180122,12351,39,case,1495,0.12104283054003724,430,0.034814994737268234,231,0.15451505016722408,0.5372093023255814,199,1264,0.10233989150676058,0.7619793810367647,0.3868809400719345
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.2,,12351,39,case,1495,0.12104283054003724,2471,0.20006477208323212,916,0.6127090301003344,0.3707001214083367,1555,579,0.04687879523925188,0.7619793810367647,0.3868809400719345
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.2,0.04186127,12351,39,case,1495,0.12104283054003724,1022,0.08274633632904219,456,0.30501672240802674,0.4461839530332681,566,1039,0.08412274309772488,0.7619793810367647,0.3868809400719345
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.01,,12351,39,case,1505,0.12185248158043883,124,0.010039672900979678,80,0.053156146179401995,0.6451612903225806,44,1425,0.11537527325722613,0.7655725000505414,0.38947859975441357
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.05,,12351,39,case,1505,0.12185248158043883,618,0.050036434296818075,321,0.21328903654485049,0.5194174757281553,297,1184,0.09586268318354789,0.7655725000505414,0.38947859975441357
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.1,,12351,39,case,1505,0.12185248158043883,1236,0.10007286859363615,537,0.3568106312292359,0.4344660194174757,699,968,0.07837422071087362,0.7655725000505414,0.38947859975441357
sun_easy_unseen,SUN-SEG,test_easy_unseen,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.2,,12351,39,case,1505,0.12185248158043883,2471,0.20006477208323212,927,0.6159468438538206,0.3751517604208822,1544,578,0.04679783013521172,0.7655725000505414,0.38947859975441357
sun_hard_unseen,SUN-SEG,test_hard_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.01,,8640,26,case,1086,0.12569444444444444,87,0.010069444444444445,55,0.05064456721915286,0.632183908045977,32,1031,0.1193287037037037,0.7449760740470943,0.35547303845276
sun_hard_unseen,SUN-SEG,test_hard_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.01,0.13528396,8640,26,case,1086,0.12569444444444444,22,0.0025462962962962965,16,0.014732965009208104,0.7272727272727273,6,1070,0.12384259259259259,0.7449760740470943,0.35547303845276
sun_hard_unseen,SUN-SEG,test_hard_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.05,,8640,26,case,1086,0.12569444444444444,432,0.05,231,0.212707182320442,0.5347222222222222,201,855,0.09895833333333333,0.7449760740470943,0.35547303845276
sun_hard_unseen,SUN-SEG,test_hard_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.05,0.09579211,8640,26,case,1086,0.12569444444444444,101,0.011689814814814814,64,0.058931860036832415,0.6336633663366337,37,1022,0.11828703703703704,0.7449760740470943,0.35547303845276
sun_hard_unseen,SUN-SEG,test_hard_unseen,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.1,,8640,26,case,1086,0.12569444444444444,864,0.1,377,0.34714548802946593,0.4363425925925926,487,709,0.08206018518518518,0.7449760740470943,0.35547303845276
