slice,dataset,source,task,selection_mode,nominal_budget,threshold,frames,failures,failure_prevalence,reviewed_frames,review_fraction,caught_failures,failure_recall,review_precision,failure_recall_lift_over_random,precision_lift_over_prevalence,false_referrals,safe_frame_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_frames,remaining_failure_rate_unreviewed,auroc,auprc
sun_test_positive_easy_seen,SUN-SEG,easy_seen,positive_lesion_preservation,exact_rank,0.01,,4719,407,0.08624708624708624,48,0.010171646535282899,32,0.07862407862407862,0.6666666666666666,7.72972972972973,7.72972972972973,16,0.0037105751391465678,375,0.9213759213759214,0.07946598855689765,0.08028259473346179,0.6692593778632739,0.3328131123653521
sun_test_positive_easy_seen,SUN-SEG,easy_seen,positive_lesion_preservation,sun_val_frozen_threshold,0.01,0.13528396,4719,407,0.08624708624708624,1,0.00021190930281839374,0,0.0,0.0,0.0,0.0,1,0.00023191094619666049,407,1.0,0.08624708624708624,0.08626536668079694,0.6692593778632739,0.3328131123653521
sun_test_positive_easy_seen,SUN-SEG,easy_seen,positive_lesion_preservation,exact_rank,0.05,,4719,407,0.08624708624708624,236,0.05001059546514092,121,0.2972972972972973,0.5127118644067796,5.944686211635365,5.944686211635364,115,0.026669758812615955,286,0.7027027027027027,0.06060606060606061,0.0637965648003569,0.6692593778632739,0.3328131123653521
sun_test_positive_easy_seen,SUN-SEG,easy_seen,positive_lesion_preservation,sun_val_frozen_threshold,0.05,0.09579211,4719,407,0.08624708624708624,19,0.004026276753549481,11,0.02702702702702703,0.5789473684210527,6.712660028449502,6.712660028449503,8,0.0018552875695732839,396,0.972972972972973,0.08391608391608392,0.08425531914893616,0.6692593778632739,0.3328131123653521
sun_test_positive_easy_seen,SUN-SEG,easy_seen,positive_lesion_preservation,exact_rank,0.1,,4719,407,0.08624708624708624,472,0.10002119093028183,181,0.44471744471744473,0.3834745762711864,4.446232249198351,4.446232249198351,291,0.0674860853432282,226,0.5552825552825553,0.04789150243695698,0.05321403343536614,0.6692593778632739,0.3328131123653521
sun_test_positive_easy_seen,SUN-SEG,easy_seen,positive_lesion_preservation,sun_val_frozen_threshold,0.1,0.07180122,4719,407,0.08624708624708624,45,0.009535918626827717,29,0.07125307125307126,0.6444444444444445,7.4720720720720735,7.4720720720720735,16,0.0037105751391465678,378,0.9287469287469288,0.08010171646535283,0.08087291399229782,0.6692593778632739,0.3328131123653521
sun_test_positive_easy_seen,SUN-SEG,easy_seen,positive_lesion_preservation,exact_rank,0.2,,4719,407,0.08624708624708624,944,0.20004238186056367,223,0.547911547911548,0.23622881355932204,2.73897732478241,2.7389773247824096,721,0.1672077922077922,184,0.4520884520884521,0.03899131171858444,0.048741721854304636,0.6692593778632739,0.3328131123653521
sun_test_positive_easy_seen,SUN-SEG,easy_seen,positive_lesion_preservation,sun_val_frozen_threshold,0.2,0.04186127,4719,407,0.08624708624708624,136,0.028819665183301545,84,0.20638820638820637,0.6176470588235294,7.161367249602543,7.161367249602544,52,0.012059369202226345,323,0.7936117936117936,0.06844670481034118,0.07047785293475889,0.6692593778632739,0.3328131123653521
sun_test_positive_easy_unseen,SUN-SEG,easy_unseen,positive_lesion_preservation,exact_rank,0.01,,12351,1663,0.1346449680187839,124,0.010039672900979678,89,0.05351773902585689,0.717741935483871,5.330625763777084,5.330625763777085,35,0.003274700598802395,1574,0.9464822609741431,0.1274390737592098,0.12873149586979635,0.43117162210455817,0.23370169636881452
sun_test_positive_easy_unseen,SUN-SEG,easy_unseen,positive_lesion_preservation,sun_val_frozen_threshold,0.01,0.13528396,12351,1663,0.1346449680187839,1,8.096510404015869e-05,1,0.0006013229104028864,1.0,7.42693926638605,7.42693926638605,0,0.0,1662,0.9993986770895971,0.13456400291474374,0.1345748987854251,0.43117162210455817,0.23370169636881452
