predictor,method,split,frames,positive_frames,auroc,auprc,best_f1,best_f1_threshold,recall_at_top10_val_threshold,precision_at_top10_val_threshold,flagged_fraction_top10_val_threshold
spatial_mamba_tiny,ssm_shuffle_order_control,sunpos_hard_seen,3882,316,0.93850678,0.71340270,0.65930027,0.66545993,0.00316456,1.00000000,0.00025760
spatial_mamba_tiny,ssm_shuffle_order_control,sunpos_hard_unseen,8640,1053,0.89552379,0.65417724,0.62662184,0.57679397,0.01424501,0.93750000,0.00185185
spatial_mamba_tiny,ssm_shuffle_order_control,sunneg_test,7152,6392,0.36712986,0.89563061,0.94388658,0.12879634,0.11076345,1.00000000,0.09899329
convnextv2_tiny,gru,val,14005,9665,0.69208876,0.72892018,0.89935005,0.13176918,0.05804449,0.40042827,0.10003570
convnextv2_tiny,gru,sunpos_easy_seen,4719,383,0.95092456,0.70178071,0.66829860,0.55532247,0.07310705,1.00000000,0.00593346
convnextv2_tiny,gru,sunpos_easy_unseen,12351,1987,0.88796011,0.72136155,0.66785175,0.57218689,0.06492199,1.00000000,0.01044450
convnextv2_tiny,gru,sunpos_hard_seen,3882,489,0.91632056,0.70168731,0.62904716,0.51967585,0.12474438,1.00000000,0.01571355
convnextv2_tiny,gru,sunpos_hard_unseen,8640,1401,0.89792463,0.74484075,0.69571328,0.58266544,0.08636688,1.00000000,0.01400463
convnextv2_tiny,gru,sunneg_test,7152,6083,0.04727878,0.68823807,0.91922933,0.03668999,0.05013973,0.31606218,0.13492729
convnextv2_tiny,gru_reverse_order_control,val,14005,9665,0.69445027,0.72880076,0.89956921,0.13777548,0.05794102,0.39971449,0.10003570
convnextv2_tiny,gru_reverse_order_control,sunpos_easy_seen,4719,383,0.95718100,0.72577263,0.66903913,0.51622623,0.07049608,1.00000000,0.00572155
convnextv2_tiny,gru_reverse_order_control,sunpos_easy_unseen,12351,1987,0.89095706,0.73937905,0.67815793,0.57847196,0.06441872,1.00000000,0.01036353
convnextv2_tiny,gru_reverse_order_control,sunpos_hard_seen,3882,489,0.91919789,0.71467696,0.64559382,0.53538704,0.12474438,1.00000000,0.01571355
convnextv2_tiny,gru_reverse_order_control,sunpos_hard_unseen,8640,1401,0.90032557,0.75792858,0.70239776,0.57975447,0.08565310,1.00000000,0.01388889
convnextv2_tiny,gru_reverse_order_control,sunneg_test,7152,6083,0.04771360,0.68986828,0.91922933,0.03224161,0.05227684,0.32317073,0.13758389
convnextv2_tiny,gru_shuffle_order_control,val,14005,9665,0.70252251,0.73296903,0.91024774,0.23451938,0.06301086,0.43468951,0.10003570
convnextv2_tiny,gru_shuffle_order_control,sunpos_easy_seen,4719,383,0.94575020,0.70259998,0.66751921,0.53230780,0.06005222,1.00000000,0.00487391
convnextv2_tiny,gru_shuffle_order_control,sunpos_easy_unseen,12351,1987,0.88882105,0.72401389,0.68166715,0.54939848,0.04277806,1.00000000,0.00688203
convnextv2_tiny,gru_shuffle_order_control,sunpos_hard_seen,3882,489,0.91084435,0.69258373,0.63002938,0.52638775,0.06543967,1.00000000,0.00824317
convnextv2_tiny,gru_shuffle_order_control,sunpos_hard_unseen,8640,1401,0.89486562,0.73315219,0.67923212,0.50817704,0.04425410,1.00000000,0.00717593
convnextv2_tiny,gru_shuffle_order_control,sunneg_test,7152,6083,0.05098945,0.69001237,0.91922933,0.10716534,0.05375637,0.34276730,0.13338926
convnextv2_tiny,linear,val,14005,9665,0.72407333,0.79852704,0.90294427,0.21049604,0.11433006,0.78872234,0.10003570
convnextv2_tiny,linear,sunpos_easy_seen,4719,383,0.94494571,0.59828116,0.64122134,0.33445746,0.14882507,0.67058824,0.01801229
convnextv2_tiny,linear,sunpos_easy_unseen,12351,1987,0.88672733,0.56907392,0.63524848,0.40072975,0.08152994,0.59778598,0.02194154
convnextv2_tiny,linear,sunpos_hard_seen,3882,489,0.90880479,0.55974527,0.59058261,0.37442383,0.13292434,0.61320755,0.02730551
convnextv2_tiny,linear,sunpos_hard_unseen,8640,1401,0.89821294,0.63025027,0.65689951,0.51895618,0.07708779,0.66666667,0.01875000
convnextv2_tiny,linear,sunneg_test,7152,6083,0.14761884,0.76158121,0.91922933,0.09019810,0.10521124,0.76372315,0.11717002
convnextv2_tiny,mlp,val,14005,9665,0.69693693,0.74717982,0.90497309,0.14516599,0.06704604,0.46252677,0.10003570
convnextv2_tiny,mlp,sunpos_easy_seen,4719,383,0.95462062,0.64925985,0.64852071,0.58783489,0.11488251,0.84615385,0.01101928
convnextv2_tiny,mlp,sunpos_easy_unseen,12351,1987,0.89790554,0.71458469,0.67274857,0.55432993,0.07347760,0.96688742,0.01222573
convnextv2_tiny,mlp,sunpos_hard_seen,3882,489,0.92508033,0.72309055,0.62966913,0.67960358,0.14723926,0.98630137,0.01880474
convnextv2_tiny,mlp,sunpos_hard_unseen,8640,1401,0.92164488,0.74828180,0.67873865,0.50782722,0.09564597,0.99259259,0.01562500
convnextv2_tiny,mlp,sunneg_test,7152,6083,0.06033153,0.70658673,0.91922933,0.05786761,0.05852375,0.38569881,0.12905481
convnextv2_tiny,scalar_edge_density,val,14005,9665,0.73831300,0.87234110,0.84991616,0.04170896,0.14464563,0.99572650,0.10024991
convnextv2_tiny,scalar_edge_density,sunpos_easy_seen,4719,383,0.64173734,0.41710799,0.47416413,0.28571430,0.07571802,0.96666667,0.00635728
convnextv2_tiny,scalar_edge_density,sunpos_easy_unseen,12351,1987,0.78472873,0.65717331,0.62298721,0.27872342,0.11625566,1.00000000,0.01870294
